ITEM,PRICE,SALES,CLASS
Ventennale XS, 20, 0,TSHIRT
Ventennale S, 20, 0,TSHIRT
Ventennale M, 20, 0,TSHIRT
Ventennale L, 20, 0,TSHIRT
Ventennale XL, 20, 0,TSHIRT
Ventennale XXL, 20, 0,TSHIRT
Ventennale XXXL, 20, 0,TSHIRT
Profanar LaTumba XS, 20, 0,TSHIRT
Profanar LaTumba S, 20, 0,TSHIRT
Profanar LaTumba M, 20, 0,TSHIRT
Profanar LaTumba L, 20, 0,TSHIRT
Profanar LaTumba XL, 20, 0,TSHIRT
Profanar LaTumba XXL, 20, 0,TSHIRT
Profanar LaTumba XXXL, 20, 0,TSHIRT
Pasadena 1994 XS, 20, 0,TSHIRT
Pasadena 1994 S, 20, 0,TSHIRT
Pasadena 1994 M, 20, 0,TSHIRT
Pasadena 1994 L, 20, 0,TSHIRT
Pasadena 1994 XL, 20, 0,TSHIRT
Pasadena 1994 XXL, 20, 0,TSHIRT
Pasadena 1994 XXXL, 20, 0,TSHIRT
Metal Boomer Hoodie XS, 50, 0,TSHIRT
Metal Boomer Hoodie S, 50, 0,TSHIRT
Metal Boomer Hoodie M, 50, 0,TSHIRT
Metal Boomer Hoodie L, 50, 0,TSHIRT
Metal Boomer Hoodie XL, 50, 0,TSHIRT
Metal Boomer Hoodie XXL, 50, 0,TSHIRT
Metal Boomer Hoodie XXXL, 50, 0,TSHIRT
Gabonzo XS, 20, 0,TSHIRT
Gabonzo S, 20, 0,TSHIRT
Gabonzo M, 20, 0,TSHIRT
Gabonzo L, 20, 0,TSHIRT
Gabonzo XL, 20, 0,TSHIRT
Gabonzo XXL, 20, 0,TSHIRT
Gabonzo XXXL, 20, 0,TSHIRT
Sober XS, 20, 0,TSHIRT
Sober S, 20, 0,TSHIRT
Sober M, 20, 0,TSHIRT
Sober L, 20, 0,TSHIRT
Sober XL, 20, 0,TSHIRT
Sober XXL, 20, 0,TSHIRT
Sober XXXL, 20, 0,TSHIRT
Polenta XS, 20, 0,TSHIRT
Polenta S, 20, 0,TSHIRT
Polenta M, 20, 0,TSHIRT
Polenta L, 20, 0,TSHIRT
Polenta XL, 20, 0,TSHIRT
Polenta XXL, 20, 0,TSHIRT
Polenta XXXL, 20, 0,TSHIRT
Barbagianni XS, 20, 0,TSHIRT
Barbagianni S, 20, 0,TSHIRT
Barbagianni M, 20, 0,TSHIRT
Barbagianni L, 20, 0,TSHIRT
Barbagianni XL, 20, 0,TSHIRT
Barbagianni XXL, 20, 0,TSHIRT
Barbagianni XXXL, 20, 0,TSHIRT
Other Bands Play CD, 15, 0,MUSIC
Into Gay Pride CD, 15, 0,MUSIC
A Knight At The Opera CD, 15, 0,MUSIC
Tourmentone CD, 15, 0,MUSIC
Stairway to Valhalla CD, 15, 0,MUSIC
Italian Folk Metal CD, 20, 0,MUSIC
Dislike to False Metal CD, 20, 0,MUSIC
Other Bands Play LP, 20, 0,MUSIC
Into Gay Pride LP, 20, 0,MUSIC
A Knight At The Opera 2LP, 30, 0,MUSIC
Tourmentone LP, 20, 0,MUSIC
Italian Folk Metal LP, 30, 0,MUSIC
Dislike to False Metal LP, 30, 0,MUSIC
Patch BOOMER, 6, 0,GADGET
Patch LOGO, 5, 0,GADGET
Bag POLENTA, 5, 0,GADGET
Spilletta, 3, 0,GADGET
Plettro, 2, 0,GADGET
